Origen,Destino,Distancia
01METRO-Pantitlan,01METRO-Zaragoza,1320
01METRO-Zaragoza,01METRO-GomezFarias,762
01METRO-GomezFarias,01METRO-BoulevardPuertoAereo,611
01METRO-BoulevardPuertoAereo,01METRO-Balbuena,595
01METRO-Balbuena,01METRO-Moctezuma,703
01METRO-Moctezuma,01METRO-SanLazaro,754.15
01METRO-SanLazaro,01METRO-Candelaria,1020
01METRO-Candelaria,01METRO-Merced,838.1
01METRO-Merced,01METRO-PinoSuarez,835.52
01METRO-PinoSuarez,01METRO-IsabellaCatolica,506.57
01METRO-IsabellaCatolica,01METRO-SaltodelAgua,508.71
01METRO-SaltodelAgua,01METRO-Balderas,760
01METRO-Balderas,01METRO-Cuauhtemoc,627.74
01METRO-Cuauhtemoc,01METRO-Insurgentes,793
01METRO-Insurgentes,01METRO-Sevilla,645
01METRO-Sevilla,01METRO-Chapultepec,501
01METRO-Chapultepec,01METRO-Juanacatlan,973
01METRO-Juanacatlan,01METRO-Tacubaya,1158
01METRO-Tacubaya,01METRO-Observatorio,1262
01METRO-CuatroCaminos,01METRO-Panteones,1639
01METRO-Panteones,01METRO-Tacuba,1416
01METRO-Tacuba,01METRO-Cuitlahuac,637
01METRO-Cuitlahuac,01METRO-Popotla,620
01METRO-Popotla,01METRO-ColegioMilitar,566.11
01METRO-ColegioMilitar,01METRO-Normal,516
01METRO-Normal,01METRO-SanCosme,657
01METRO-SanCosme,01METRO-Revolucion,537
01METRO-Revolucion,01METRO-Hidalgo,587
01METRO-Hidalgo,01METRO-BellasArtes,447
01METRO-BellasArtes,01METRO-Allende,387
01METRO-Allende,01METRO-Zocalo,602
01METRO-Zocalo,01METRO-PinoSuarez,745
01METRO-PinoSuarez,01METRO-SanAntonioAbad,1170
01METRO-SanAntonioAbad,01METRO-Chabacano,744.63
01METRO-Chabacano,01METRO-Viaducto,774
01METRO-Viaducto,01METRO-Xola,648.25
01METRO-Xola,01METRO-VilladeCortes,855.94
01METRO-VilladeCortes,01METRO-Nativitas,980.28
01METRO-Nativitas,01METRO-Portales,1080
01METRO-Portales,01METRO-Ermita,1010
01METRO-Ermita,01METRO-GeneralAnaya,917.45
01METRO-GeneralAnaya,01METRO-Tasquena,1420
01METRO-IndiosVerdes,01METRO-Deportivo18deMarzo,1280
01METRO-Deportivo18deMarzo,01METRO-Potrero,1110
01METRO-Potrero,01METRO-LaRaza,1106
01METRO-LaRaza,01METRO-Tlatelolco,2090
01METRO-Tlatelolco,01METRO-Guerrero,1042
01METRO-Guerrero,01METRO-Hidalgo,702
01METRO-Hidalgo,01METRO-Juarez,251
01METRO-Juarez,01METRO-Balderas,659
01METRO-Balderas,01METRO-NinosHeroes,665
01METRO-NinosHeroes,01METRO-HospitalGeneral,559
01METRO-HospitalGeneral,01METRO-CentroMedico,653
01METRO-CentroMedico,01METRO-Etiopia/PlazadelaTransparencia,1119
01METRO-Etiopia/PlazadelaTransparencia,01METRO-Eugenia,950
01METRO-Eugenia,01METRO-DivisiondelNorte,715
01METRO-DivisiondelNorte,01METRO-Zapata,1120
01METRO-Zapata,01METRO-Coyoacan,1153
01METRO-Coyoacan,01METRO-Viveros/DerechosHumanos,908
01METRO-Viveros/DerechosHumanos,01METRO-MiguelAngeldeQuevedo,824
01METRO-MiguelAngeldeQuevedo,01METRO-Copilco,1295
01METRO-Copilco,01METRO-Universidad,1306
01METRO-SantaAnita,01METRO-Jamaica,758
01METRO-Jamaica,01METRO-FrayServando,1370
01METRO-FrayServando,01METRO-Candelaria,1020
01METRO-Candelaria,01METRO-Morelos,1062
01METRO-Morelos,01METRO-CanaldelNorte,910
01METRO-CanaldelNorte,01METRO-Consulado,884
01METRO-Consulado,01METRO-Bondojito,645
01METRO-Bondojito,01METRO-Talisman,959
01METRO-Talisman,01METRO-MartinCarrera,1129
01METRO-Politecnico,01METRO-InstitutodelPetroleo,1188
01METRO-InstitutodelPetroleo,01METRO-AutobusesdelNorte,1067
01METRO-AutobusesdelNorte,01METRO-LaRaza,975
01METRO-LaRaza,01METRO-Misterios,892
01METRO-Misterios,01METRO-ValleGomez,969
01METRO-ValleGomez,01METRO-Consulado,679
01METRO-Consulado,01METRO-EduardoMolina,815
01METRO-EduardoMolina,01METRO-Aragon,860
01METRO-Aragon,01METRO-Oceania,1219
01METRO-Oceania,01METRO-TerminalAerea,1310
01METRO-TerminalAerea,01METRO-Hangares,1153
01METRO-Hangares,01METRO-Pantitlan,1644
01METRO-ElRosario,01METRO-Tezozomoc,1257
01METRO-Tezozomoc,01METRO-Azcapotzalco,973
01METRO-Azcapotzalco,01METRO-Ferreria,1173
01METRO-Ferreria,01METRO-Norte45,1072
01METRO-Norte45,01METRO-Vallejo,660
01METRO-Vallejo,01METRO-InstitutodelPetroleo,755
01METRO-InstitutodelPetroleo,01METRO-Lindavista,1258
01METRO-Lindavista,01METRO-Deportivo18deMarzo,1075
01METRO-Deportivo18deMarzo,01METRO-LaVilla–Basilica,570
01METRO-LaVilla–Basilica,01METRO-MartinCarrera,1141
01METRO-ElRosario,01METRO-AquilesSerdan,1615
01METRO-AquilesSerdan,01METRO-Camarones,1402
01METRO-Camarones,01METRO-Refineria,952
01METRO-Refineria,01METRO-Tacuba,1295
01METRO-Tacuba,01METRO-SanJoaquin,1433
01METRO-SanJoaquin,01METRO-Polanco,1163
01METRO-Polanco,01METRO-Auditorio,812
01METRO-Auditorio,01METRO-Constituyentes,1430
01METRO-Constituyentes,01METRO-Tacubaya,1005
01METRO-Tacubaya,01METRO-SanPedrodelosPinos,1084
01METRO-SanPedrodelosPinos,01METRO-SanAntonio,606
01METRO-SanAntonio,01METRO-Mixcoac,788
01METRO-Mixcoac,01METRO-BarrancadelMuerto,1476
01METRO-Garibaldi,01METRO-BellasArtes,634
01METRO-BellasArtes,01METRO-SanJuandeLetran,642.37
01METRO-SanJuandeLetran,01METRO-SaltodelAgua,506.87
01METRO-SaltodelAgua,01METRO-Doctores,564
01METRO-Doctores,01METRO-Obrera,761
01METRO-Obrera,01METRO-Chabacano,1240
01METRO-Chabacano,01METRO-LaViga,843
01METRO-LaViga,01METRO-SantaAnita,633
01METRO-SantaAnita,01METRO-Coyuya,968
01METRO-Coyuya,01METRO-Iztacalco,993
01METRO-Iztacalco,01METRO-Apatlaco,910
01METRO-Apatlaco,01METRO-Aculco,534
01METRO-Aculco,01METRO-Escuadron201,789
01METRO-Escuadron201,01METRO-Atlalilco,1738
